X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;D1;D2
5;175;1;1;5;25;13;22;1;0;1;185.0;248.5;1
3;148;1;4;4;10;5;22;1;1;7;200.0;1866.5;3
3;155;1;3;4;10;7;18;1;1;30;165.0;400.5;3
6;129;2;4;4;10;7;13;1;0;54;81.0;414.4;3
5;175;1;1;4;10;8;12;5;1;41;6.0;249.8;3
4;152;1;2;4;15;8;12;1;0;24;185.0;1006.1;3
5;142;1;4;7;10;10;10;3;1;71;25.0;28.9;1
5;181;1;1;3;5;0;9;1;1;73;356.0;2797.5;3
6;161;1;2;4;15;15;17;4;0;108;90.0;374.6;3
1;105;1;2;5;10;10;10;1;1;124;30.0;296.6;3
6;134;2;3;4;5;5;10;12;0;370;52.0;910.8;3
0;130;1;4;4;10;10;18;4;0;42;40.0;311.6;3
5;120;11;0;0;10;7;15;1;0;131;150.0;375.7;3
3;169;1;3;4;15;10;15;2;1;94;165.0;701.7;3
3;152;2;4;5;5;5;12;2;0;102;125.0;1017.7;3
3;178;0;4;3;10;5;10;1;1;119;93.0;898.1;3
0;113;2;1;4;10;7;13;1;0;161;22.0;115.2;3
6;180;1;4;4;10;5;13;12;0;118;100.0;392.0;3
3;194;1;1;4;10;10;12;3;1;147;200.0;2201.6;3
6;122;1;3;4;10;7;18;5;1;76;55.0;1074.4;3
6;139;1;3;5;10;5;12;3;0;133;63.0;101.2;2
6;154;1;3;5;15;10;12;5;1;130;8.0;213.9;3
2;127;1;2;3;15;5;10;1;1;176;63.0;1099.4;3
3;148;1;2;4;15;15;15;1;0;105;160.0;836.8;3
6;153;10;0;4;15;15;15;2;0;128;70.0;321.5;3
6;132;6;4;4;10;8;5;4;0;154;11.4;263.0;3
0;89;1;1;5;10;7;12;2;1;193;8.0;52.3;3
3;164;1;2;5;15;8;17;1;0;69;250.0;1081.2;3
5;149;1;1;4;5;0;9;1;0;127;321.0;2048.4;3
6;164;1;3;4;10;5;17;1;1;221;150.0;259.4;2
3;140;1;2;4;15;8;12;1;1;58;150.0;373.7;3
6;149;1;3;4;10;5;13;3;0;189;61.0;369.3;3
6;102;1;3;4;5;5;12;5;0;155;7.0;34.3;3
5;153;1;3;4;10;5;12;5;1;152;46.0;122.1;3
5;136;1;4;4;10;0;11;1;0;225;63.0;467.2;3
6;107;2;2;5;25;25;12;5;0;218;11.0;44.0;3
5;195;1;1;5;15;5;13;12;0;177;22.0;322.2;3
5;130;1;4;2;5;0;11;1;0;282;25.0;56.5;3
6;155;1;0;0;15;5;13;1;0;201;103.0;465.4;3
6;127;1;3;5;10;5;13;5;0;140;33.0;327.3;3
6;118;1;1;5;5;5;8;5;0;238;19.0;272.7;3
3;129;5;4;5;10;7;12;3;0;244;28.0;121.6;3
6;108;1;4;4;5;5;20;1;0;158;58.0;782.8;3
1;142;1;3;5;10;5;12;3;0;149;55.0;678.2;3
6;165;1;4;5;15;15;12;3;0;141;100.0;426.1;3
3;162;1;4;4;10;10;12;1;0;202;237.0;2847.4;3
5;162;1;1;4;10;5;12;1;0;191;130.0;185.4;1
3;157;2;3;5;5;5;13;2;1;216;150.0;896.7;3
5;106;1;4;4;10;10;10;3;0;234;3.3;49.4;3
5;119;2;4;4;10;8;8;1;0;199;95.0;384.9;3
5;121;1;3;5;10;25;12;1;1;208;30.0;85.0;3
5;169;1;3;5;15;5;13;3;0;215;70.0;482.3;3
3;121;1;2;4;10;7;12;1;0;241;170.0;773.4;3
5;100;1;2;4;10;5;12;4;0;297;35.0;469.3;3
3;130;1;4;5;15;8;13;3;0;246;40.0;109.7;3
0;110;1;3;3;5;5;7;3;1;1383;2.0;0.0;0
2;117;1;4;4;5;0;8;15;0;203;90.0;375.5;3
5;99;1;1;4;15;8;12;2;0;261;25.0;173.1;3
4;189;1;1;4;10;10;12;5;0;183;60.0;286.8;3
6;102;1;1;5;10;8;13;3;0;279;4.5;7.4;2
5;146;1;3;3;10;8;12;12;0;235;25.0;47.0;2
3;201;0;4;3;10;5;10;1;0;228;94.0;1146.4;3
